OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
67,11378,0.554140116000000,0.410512364000000,0.477642579000000,0.384657156000000,0.444364805000000,0.411041322000000,0.399407194000000,0.332626221000000,0.358916880000000,0.331407049000000,0.134876728798560,0.000726948049276,0,4
68,11420,-0.535849966000000,-0.541161777000000,-0.519330012000000,-0.510022365000000,-0.513367201000000,-0.516890254000000,-0.512820824000000,-0.487875584000000,-0.487869889000000,-0.476626552000000,0.100993237143728,0.000575454890649,0,1
69,11424,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.014645614583755,0.000009950645675,0,1
70,11425,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.014130310975506,0.000010597534233,0,1
71,11433,-0.382330236000000,-0.394750371000000,-0.360392353000000,-0.396412267000000,-0.374565461000000,-0.368959133000000,-0.368022726000000,-0.368529867000000,-0.341872170000000,-0.320690243000000,0.122634839600809,0.000428492077697,0,1
72,11451,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.013680118536704,0.000009920024049,0,1
73,10311,-0.489794047000000,-0.511879496000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.531669204000000,-0.519154637000000,0.015514550475255,0.000012923108269,0,1
74,10027,0.108932899000000,0.073766130000000,0.073073991000000,0.100631911000000,0.125120803000000,0.142075648000000,0.080851378000000,0.168525860000000,0.110720758000000,0.076238543000000,0.100619707773493,0.000242132536220,0,4
75,10199,-0.535849966000000,-0.526520636000000,-0.519330012000000,-0.524223628000000,-0.513367201000000,-0.516890254000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.016993630222382,0.000007115357816,0,1
76,10002,0.231748683000000,0.205536395000000,0.275358285000000,0.200040747000000,0.139000977000000,0.182420499000000,0.167730237000000,0.198362289000000,0.300517792000000,0.246350881000000,0.065292237550921,0.000234425988193,0,4
77,10470,-0.397682209000000,-0.380109230000000,-0.389290109000000,-0.410613530000000,-0.416205983000000,-0.409303984000000,-0.396982346000000,-0.398366296000000,-0.429470801000000,-0.434098468000000,0.129013305369241,0.000398456683594,0,1
78,11201,1.275682846000000,1.069363693000000,1.156739851000000,1.165726579000000,1.207774375000000,1.110352075000000,1.239236164000000,1.376901245000000,1.322501823000000,1.281200932000000,0.101976447091775,0.000395172267395,0,2
79,10456,-0.366978263000000,-0.336185808000000,-0.360392353000000,-0.424814792000000,-0.374565461000000,-0.355510849000000,-0.339063107000000,-0.368529867000000,-0.327272398000000,-0.334866271000000,0.087503544702312,0.000280891683666,0,1
80,10165,-0.290218398000000,-0.262980105000000,-0.244801328000000,-0.297003432000000,-0.319044765000000,-0.355510849000000,-0.353542916000000,-0.338693437000000,-0.312672626000000,-0.434098468000000,0.005128820373821,0.000001392379433,0,1
81,10012,1.076107198000000,1.084004834000000,1.185637607000000,1.250934152000000,1.110613157000000,1.029662373000000,0.935160158000000,1.003945879000000,1.220303420000000,1.252848875000000,0.036586531581059,0.000084619079381,0,2
82,10033,-0.336274317000000,-0.380109230000000,-0.345943474000000,-0.282802170000000,-0.319044765000000,-0.315165998000000,-0.324583297000000,-0.293938793000000,-0.298072854000000,-0.292338187000000,0.075620142418009,0.000163557804419,0,1
83,11239,-0.382330236000000,-0.394750371000000,-0.418187865000000,-0.410613530000000,-0.346805113000000,-0.382407417000000,-0.368022726000000,-0.413284511000000,-0.400271258000000,-0.391570384000000,0.071987041945147,0.000163916792371,0,1
84,10282,-0.505146020000000,-0.453314933000000,-0.490432256000000,-0.495821103000000,-0.430086157000000,-0.436200552000000,-0.454901585000000,-0.472957369000000,-0.458670345000000,-0.434098468000000,0.020911816860160,0.000021784175166,0,1
85,10168,-0.382330236000000,-0.394750371000000,-0.403738987000000,-0.382211005000000,-0.332924939000000,-0.315165998000000,-0.396982346000000,-0.383448081000000,-0.371071714000000,-0.363218328000000,0.005168538095442,0.000001408751073,0,1
86,10462,-0.213458534000000,-0.204415542000000,-0.230352449000000,-0.254399645000000,-0.152482677000000,-0.153786594000000,-0.208744818000000,-0.159674862000000,-0.166674908000000,-0.108049822000000,0.122013986567892,0.000415176870628,0,1
87,10278,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.531669204000000,-0.547506693000000,0.008082553277603,0.000003577603563,0,1
88,10003,2.350320956000000,2.152808100000000,2.038121417000000,2.287626296000000,2.165506381000000,2.092076786000000,2.383141140000000,2.242157693000000,2.359085626000000,2.486163320000000,0.056382851694727,0.000156138522629,0,2
89,11233,-0.443738128000000,-0.424032652000000,-0.389290109000000,-0.439016054000000,-0.374565461000000,-0.409303984000000,-0.411462156000000,-0.428202725000000,-0.371071714000000,-0.405746412000000,0.095408849358231,0.000367465733635,0,1
90,10020,0.584844062000000,0.688694036000000,0.564335848000000,0.484065991000000,0.486005327000000,0.424489606000000,0.529725483000000,0.616072299000000,0.577913458000000,0.515695414000000,0.017834468299182,0.000006015117796,0,4
91,10044,-0.474442074000000,-0.497238355000000,-0.490432256000000,-0.467418579000000,-0.485606853000000,-0.476545403000000,-0.498341015000000,-0.502793798000000,-0.502469661000000,-0.476626552000000,0.064431352677420,0.000061740645162,0,1
92,10039,-0.489794047000000,-0.482597215000000,-0.475983378000000,-0.439016054000000,-0.443966331000000,-0.449648835000000,-0.454901585000000,-0.472957369000000,-0.487869889000000,-0.476626552000000,0.075006225038501,0.000121184595238,0,1
93,11109,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.018994805542644,0.000015894230612,0,1
94,11411,-0.505146020000000,-0.467956074000000,-0.490432256000000,-0.481619841000000,-0.485606853000000,-0.463097119000000,-0.469381395000000,-0.472957369000000,-0.458670345000000,-0.476626552000000,0.077407542437702,0.000326936717622,0,1
95,11220,0.247100656000000,0.278742099000000,0.116420626000000,0.086430649000000,0.125120803000000,0.088282513000000,0.051891759000000,0.004425499000000,0.008522355000000,0.090414572000000,0.127737199218879,0.000489094129174,0,4
96,10026,-0.489794047000000,-0.467956074000000,-0.447085621000000,-0.439016054000000,-0.430086157000000,-0.422752268000000,-0.425941966000000,-0.428202725000000,-0.414871029000000,-0.462450524000000,0.044911301597646,0.000092780820957,0,1
97,10007,0.247100656000000,0.205536395000000,0.101971748000000,0.200040747000000,0.222282021000000,0.209317067000000,0.355967765000000,0.287871577000000,0.300517792000000,0.388111162000000,0.043234271841793,0.000042588347725,0,4
98,10170,-0.397682209000000,-0.380109230000000,-0.403738987000000,-0.396412267000000,-0.374565461000000,-0.395855700000000,-0.368022726000000,-0.398366296000000,-0.385671486000000,-0.320690243000000,0.007057929953402,0.000002656552033,0,1
99,11210,-0.366978263000000,-0.394750371000000,-0.432636743000000,-0.382211005000000,-0.374565461000000,-0.368959133000000,-0.339063107000000,-0.338693437000000,-0.327272398000000,-0.263986131000000,0.106274700755618,0.000447726463400,0,1
100,10024,0.385268413000000,0.351947802000000,0.376500432000000,0.299449582000000,0.208401847000000,0.168972215000000,0.182210047000000,0.362462650000000,0.227518933000000,0.203822796000000,0.116889282489536,0.000236409965573,0,4
101,10172,-0.474442074000000,-0.467956074000000,-0.447085621000000,-0.453217316000000,-0.430086157000000,-0.382407417000000,-0.382502536000000,-0.368529867000000,-0.414871029000000,-0.320690243000000,0.005063219447299,0.000001323880803,0,1
102,11238,-0.320922344000000,-0.350826949000000,-0.345943474000000,-0.339607218000000,-0.346805113000000,-0.342062566000000,-0.382502536000000,-0.413284511000000,-0.356471942000000,-0.434098468000000,0.090367616041753,0.000305615417385,0,1
103,11417,-0.474442074000000,-0.438673793000000,-0.504881134000000,-0.481619841000000,-0.457846505000000,-0.449648835000000,-0.498341015000000,-0.458039154000000,-0.487869889000000,-0.476626552000000,0.089837345933857,0.000305029375749,0,1
104,11005,-0.520497993000000,-0.497238355000000,-0.504881134000000,-0.510022365000000,-0.485606853000000,-0.489993686000000,-0.498341015000000,-0.517712013000000,-0.517069433000000,-0.533330665000000,0.032803455235182,0.000046719524174,0,1
105,11427,-0.428386155000000,-0.409391511000000,-0.418187865000000,-0.439016054000000,-0.402325809000000,-0.436200552000000,-0.425941966000000,-0.413284511000000,-0.414871029000000,-0.405746412000000,0.132537877046938,0.000433965278229,0,1
